website,domain,phones,addresses,status,retries,facebook_links,instagram_links,youtube_links,twitter_links,linkedin_links,error,company_commercial_name,company_legal_name,company_all_available_names
http://getranx.com,getranx.com,[],[],success,0,[],[],[],[],[],,Getranx,,Getranx
http://gsbphoto.com,gsbphoto.com,[],[],success,0,[],[],[],[],[],,Gordon S Bernstein Photo,,Gordon S Bernstein Photo | Bernstein Gordon S
http://cryptohomiesclub.io,cryptohomiesclub.io,['19862025'],[],success,0,['facebook.com/cryptohomiesnft'],['instagram.com/cryptohomies_'],[],['twitter.com/CRYPTOHOMIES_'],[],,CryptoHomies Club,Homieshop Properties LLC or Non-Fungible Art Inc.,CryptoHomies Club | CRYPTO HOMIES | Homieshop Properties LLC or Non-Fungible Art Inc. | Homieshop Properties LLC.
http://itpc-usa.com,itpc-usa.com,[],[],success,0,['facebook.com/wix'],['instagram.com/wix'],[],['twitter.com/wix'],[],,Italian Travel Promotion Council,,Italian Travel Promotion Council
http://motherssoontobe.com,motherssoontobe.com,[],[],success,0,[],[],[],[],[],,Mothers Soon To,,Mothers Soon To
http://graciejoplin.com,graciejoplin.com,"['4176215639', '4178506447']","['210 N Washington St Neosho, MO 64850', '214 S Main Street Joplin, MO 64801']",success,0,"['facebook.com/zach.lawson.54', 'facebook.com/profile.php', 'facebook.com/shiloh.burchfield', 'facebook.com/jason.rios.16547008', 'facebook.com/randi.roodman', 'facebook.com/rob.gaul.3', 'facebook.com/Ghettotacos417', 'facebook.com/graciejoplin']",['instagram.com/explore'],[],[],[],,Gracie Humaitá Joplin,,Gracie Humaitá Joplin | Gracie Humaita Joplin Gracie Humaita | Gracie Joplin
http://workitstudio.com,workitstudio.com,[],[],success,0,[],[],[],[],[],,Work It! Studio by WandaWoman,Forge Marketing & Management Pty.,Work It! Studio by WandaWoman | Work It! Studio | Forge Marketing & Management Pty.
http://rcgglobaltv.com,rcgglobaltv.com,[],[],success,0,[],[],[],[],[],,RCG Global TV Network,,RCG Global TV Network | RCG Global TV
http://palla-siding-and-windows.business.site,palla-siding-and-windows.business.site,[],[],success,0,[],[],[],[],[],,Palla Siding & Windows,,Palla Siding & Windows
http://creativebusinessassociates.com,creativebusinessassociates.com,[],[],success,0,['facebook.com/paula.easton'],[],[],[],[],,Creative Business Associates,,Creative Business Associates
http://directdrivelogistics.com,directdrivelogistics.com,[],[],success,0,['facebook.com/tr'],[],[],[],[],,Direct Drive Logistics - Milwaukee,,Direct Drive Logistics - Milwaukee | Direct Drive Logistics
http://uomosport.com,uomosport.com,[],[],success,0,['facebook.com/UOMOSPORT2016'],['instagram.com/uomo_sport'],[],['twitter.com/uomo_sport'],['linkedin.com/company/uomo-sport'],,Uomo Sport,,Uomo Sport
http://antiochassistedliving.com,antiochassistedliving.com,[],[],success,0,[],[],[],[],[],,The Residences Antioch,,The Residences Antioch
http://azureskies.com,,[],[],failed,0,[],[],[],[],[],Failed to retrieve page content,,,
http://starcomconsulting.com,starcomconsulting.com,[],[],success,0,[],[],[],[],[],,Starcom Consulting,Starcom Consulting Inc.,Starcom Consulting | Starcom | Starcom Consulting Inc.
